ID,Title,SEO
58572,Manage opportunities with Dynamics 365 Sales,"dynamics, dynamics-sales"
58573,Leverage Embedded Intelligence in Dynamics 365 Sales,"dynamics, dynamics-sales"
58574,Manage and organize your product catalog with Dynamics 365 Sales,"dynamics, dynamics-sales"
58575,Process sales orders with Dynamics 365 Sales,"dynamics, dynamics-sales"
58576,Manage relationships with social selling in Dynamics 365 Sales,"dynamics, dynamics-sales"
58597,Analyze Dynamics 365 sales data,"dynamics, dynamics-sales"
58813,Access Metrics from your Azure Blob Storage Containers Programmatically,azure
59056,Copy and move blobs from one container or storage account to another from the command line and in code ,azure
59057,Organize Azure storage blobs with properties and metadata,azure
59061,Optimize storage performance and costs using Blob storage tiers,azure
59068,Run parallel tasks in Azure Batch with the Azure CLI,azure
59069,Create an app to run parallel compute jobs in Azure Batch,"azure, dotnet, dotnet-core"
59081,Build a containerized web application with Docker,azure
59082,Deploy and run a containerized web app with Azure App Service,"azure, azure-app-service, azure-container-registry"
59109,Improve the developer experience of an API with Swagger documentation,"azure, azure-clis, aspnet-core, dotnet, dotnet-core"
59117,Develop and configure an ASP.NET application that queries an Azure SQL database,"azure, azure-sql-database"
59118,Scale multiple Azure SQL Databases with SQL elastic pools,"azure, azure-portal, azure-sql-database"
59121,Improve the performance of an API by adding a caching policy in Azure API Management,"azure, azure-api-management"
59123,Publish and manage your APIs with Azure API Management,"azure, azure-api-management"
59139,Create a long-running serverless workflow with Durable Functions,"azure, azure-functions"
59141,"Develop, test, and deploy an Azure Function with Visual Studio","azure, vs, azure-functions"
59145,Monitor GitHub events by using a webhook with Azure Functions,"azure, azure-functions"
59146,Stage a web app deployment for testing and rollback by using App Service deployment slots,"azure, dotnet, aspnet-core, dotnet-core"
59151,Run a background task in an App Service Web App with WebJobs,"azure, dotnet, aspnet-core, dotnet-core"
59152,Scale an App Service web app to efficiently meet demand with App Service scale up and scale out,"azure, dotnet, aspnet-core, dotnet-core"
59246,Call an API from a Logic Apps workflow using a custom connector,"azure, azure-logic-apps"
59247,Create and deploy Logic Apps using Azure Resource Manager templates,"azure, azure-logic-apps, azure-resource-manager"
59537,Handle transient errors in your app,azure
59539,Introduction to Xamarin.Android,"xamarin, vs, dotnet"
59540,Introduction to Xamarin.iOS,"xamarin, dotnet, vs"
59544,Create a mobile app with Xamarin.Forms,"xamarin, dotnet, vs"
59547,Create a UI in Xamarin.Forms apps by using XAML,"xamarin, dotnet, vs"
59550,Customize layout in Xamarin.Forms XAML pages,"xamarin, dotnet, vs"
59551,Design consistent Xamarin.Forms XAML pages by using shared resources and styles,"xamarin, dotnet, vs"
59552,Consume REST web services in Xamarin apps,"xamarin, dotnet, vs"
59553,Store local data with SQLite in a Xamarin.Forms app,"xamarin, dotnet, vs"
59555,Create multi-page Xamarin.Forms apps with stack and tab navigation,"xamarin, dotnet, vs"
59556,Prepare to publish your Xamarin app,"xamarin, dotnet, vs"
59557,Explore cross-platform design patterns for Xamarin apps,"xamarin, vs, dotnet"
59558,Separate your UI and code with Xamarin.Forms data binding,"xamarin, dotnet, vs"
59559,Display collections in Xamarin.Forms apps by using ListView,"xamarin, dotnet, vs"
59561,Display relationships in Xamarin.Forms with master-detail navigation,"xamarin, dotnet, vs"
59563,Customize a Xamarin.Forms ListView,"xamarin, dotnet, vs"
59564,Design an MVVM viewmodel for Xamarin.Forms,"xamarin, dotnet, vs"
59567,Use effects in Xamarin.Forms,"xamarin, dotnet, vs"
59569,Create custom controls with Xamarin.Forms renderers,"xamarin, dotnet, vs"
59617,Choose the appropriate API for Azure Cosmos DB storage,"azure, azure-cosmos-db"
59778,Get started with Dynamics 365 Finance,"dynamics, dynamics-finance"
59784,Get started with production control in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
59792,Introduction to Dynamics 365 portals,"dynamics, power-platform"
59795,Provision and administer Dynamics 365 portals,"dynamics, power-platform"
59797,Work with Dynamics 365 portal components,"dynamics, power-platform"
59798,Create content in Dynamics 365 portals,"dynamics, power-platform"
59799,Configure activity-based subcontracting and production flow costing in Dynamics 365 Supply Chain Management,"dynamics, dynamics-finance-operations"
59801,Secure Dynamics 365 portals content,"dynamics, power-platform"
59803,Secure Common Data Service data in Dynamics 365 portals,"dynamics, power-platform, common-data-service"
59804,Develop with Dynamics 365 portals,"dynamics, power-platform"
59810,Get started with discrete manufacturing in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
59813,Configure discrete manufacturing in Dynamics 365 Supply Chain Management,"dynamics, dynamics-finance-operations"
59815,Work with the costing sheet in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
59817,Work with capacity planning and scheduling in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
59823,Work with manufacturing execution in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
59891,Design Microsoft Power Platform Dynamics 365 Deployments,"dynamics, powerapps, power-platform"
59894,Administer Microsoft Power Platform subscriptions,"powerapps, dynamics, power-platform"
59897,Manage Dynamics 365 clients,"dynamics, powerapps, power-platform"
59899,Microsoft Power Platform Mobile management,"dynamics, powerapps, power-platform"
59933,Introduction to Microsoft Business Applications,"dynamics, power-platform"
59934,Enabling digital transformation,"azure, dynamics, m365, power-platform"
59936,Introduction to Azure solutions,azure
59937,Applications and infrastructure migration and modernization,azure
59938,Microsoft data estate migration and modernization,azure
59940,Microsoft Azure IoT strategy and solutions,azure
59943,Overview of the Microsoft Cloud Operating Model,azure
59946,Welcome to Microsoft Business Applications,"dynamics, power-platform"
59948,Discover how your organization can achieve more with Surface for Business and Microsoft 365,m365
59952,Facilitate teamwork to achieve more with Microsoft 365,m365
59953,Enable modern communication and collaboration with Microsoft Teams,m365
59954,Discover modern workplace solutions with Microsoft 365 and Surface for Business,m365
59955,Balance IT and user needs with Windows 10 and Office 365 ProPlus,m365
59956,"Secure your organization with built-in, intelligent security from Microsoft 365",m365
59957,"Meet the growing demand for transparency, privacy, and compliance with Microsoft 365",m365
59958,"Power Platform - Introduction, business value, and demos","common-data-service, power-automate, power-bi, power-platform, powerapps"
59962,Microsoft runs on trust,"dynamics, azure, power-platform"
59963,Learn how your organization can move to a modern workplace with Microsoft 365,m365
59967,Dynamics 365 applications and the Power Platform,"dynamics, power-platform"
59968,Dynamics 365 Sales,"dynamics, dynamics-sales"
59970,Dynamics 365 Marketing,"dynamics, dynamics-marketing"
59971,Dynamics 365 Customer Service,"dynamics, dynamics-customer-service"
59972,Dynamics 365 Field Service,"dynamics, dynamics-field-service"
59976,Dynamics 365 Retail,"dynamics, dynamics-retail"
59978,Dynamics 365 Talent,"dynamics, dynamics-talent"
59980,Dynamics 365 Business Central,"dynamics, dynamics-business-central"
60068,Get started with lean manufacturing in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60071,Configure lean manufacturing in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60073,Create and process fixed kanbans in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60083,Create and process event kanban rules in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60088,Create and process scheduled kanbans in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60094,Configure process manufacturing in Dynamics 365 for Finance and Operations,"dynamics, dynamics-finance-operations"
60100,Identify and configure batch attributes for process manufacturing in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60102,Work with commodity pricing and compliance in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60295,Configure and work with inventory management in Dynamics 365 for Finance and Operations,"dynamics, dynamics-finance-operations"
60299,Use inventory reports in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60301,Create products and product masters in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60303,Create bill of materials in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60310,Configure and perform the procure-to-purchase process in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60346,Configure and manage vendor collaboration in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60348,Process purchase orders in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60350,Configure and work with quality control in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60381,Configure and use agreements in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60392,Configure and manage the order to cash process in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60425,Configure and use intercompany trade in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60437,Configure and use master planning in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60443,Configure warehouse management in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60450,Work with warehouse management in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
60456,Configure and work with transportation management in Dynamics 365 for Finance and Operations,"dynamics, dynamics-finance-operations"
60519,Create a web API with ASP.NET Core,"dotnet, aspnet-core, dotnet-core"
60782,Navigate Finance and Operations apps,"dynamics, dynamics-finance-operations"
60863,Work with analytics and reporting in Finance and Operations apps,"dynamics, dynamics-finance-operations"
60912,Perform advanced data transformation in Azure Databricks,"azure, azure-databricks"
61014,Get started with cost accounting in Dynamics 365 Finance,"dynamics, dynamics-finance"
61021,Configure electronic reporting in Dynamics 365 Finance,"dynamics, dynamics-finance, dynamics-finance-operations"
61040,Configure and perform periodic processes in Dynamics 365 Finance,"dynamics, dynamics-finance-operations"
61062,Configure Dynamics 365 Finance for public sector,"dynamics, dynamics-finance"
61073,Get started with product configuration in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
61078,Use warehouse management for manufacturing in Dynamics 365 Supply Chain Management,"dynamics, dynamics-scm"
61182,What is Microsoft 365?,m365
61183,Introduction to teamwork in Microsoft 365,m365
61186,Select a cloud deployment model,m365
61190,Introduction to compliance tools in Microsoft 365,m365
61207,Introduction to Microsoft 365 unified endpoint management,"m365, azure"
61208,Move to a modern desktop with Microsoft 365,m365
61213,Manage your Microsoft 365 subscription,m365
61420,Create an Azure account,"azure, azure-portal"
61421,Core Cloud Services - Azure architecture and service guarantees,azure
61422,Apply and monitor infrastructure standards with Azure Policy,azure
61530,Understand the evolving world of data,azure
61532,Survey the services on the Azure Data platform,"azure, azure-storage"
61533,Identify the tasks of a data engineer in a cloud-hosted architecture,azure
61535,Introduction to Azure Data Lake storage,azure
61536,Upload data to Azure Data Lake Storage,azure
61537,Secure your Azure Storage account,"azure, azure-storage"
61539,Design a data warehouse with Azure SQL Data Warehouse,"azure, azure-sql-data-warehouse"
61540,Query data in Azure SQL Data Warehouse,"azure, azure-sql-data-warehouse"
61541,Import data into Azure SQL Data Warehouse by using PolyBase,"azure, azure-sql-data-warehouse"
61543,Data warehouse security,"azure, azure-sql-data-warehouse"
61545,Work with data streams by using Azure Stream Analytics,"azure, azure-stream-analytics"
61546,Transform data by using Azure Stream Analytics,"azure, azure-stream-analytics"
61617,Improve application scalability and resiliency by using Azure Load Balancer,"azure, azure-load-balancer, azure-virtual-network"
62005,Set up batch jobs in Dynamics 365 for Finance and Operations,"dynamics, dynamics-finance-operations"
62736,Enhance your service availability and data locality by using Azure Traffic Manager,"azure, azure-traffic-manager, azure-virtual-network"
62745,Secure and isolate access to Azure resources by using network security groups and service endpoints,"azure, azure-virtual-network"
62951,Build a scalable application with virtual machine scale sets,"azure, azure-virtual-machines"
63691,Welcome to Microsoft Azure,azure
63942,Choose the right disk storage for your virtual machine workload,"azure, azure-virtual-machines"
65097,Enable automatic updates in a web application using Azure Functions and SignalR Service,"azure, azure-storage, azure-functions, azure-cosmos-db"
65117,Introduction to Azure Logic Apps,"azure, azure-logic-apps"
65222,Plan and configure the global address book in Finance and Operations apps,"dynamics, dynamics-finance-operations"
65740,Manage users and authentication in Dynamics 365 portals,"dynamics, power-platform"
65884,Add conversational intelligence to your apps by using Language Understanding Intelligent Service (LUIS),"azure, azure-sdks, azure-bot-service, azure-cognitive-services, azure-language-understanding"
65887,Translate speech in real time with Azure Cognitive Services,"azure, azure-sdks, azure-cognitive-services"
